,place_name,place_location,place_feature,place_star,operating_time
0,이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,"해수욕장,해변",3.8점,
1,남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17 ,"해수욕장,해변",4.5점,
2,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525 ,"해수욕장,해변",4.5점,
3,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10 ,"해수욕장,해변",4.6점,
4,용머리해안,제주특별자치도 서귀포시 안덕면 사계리,"해수욕장,해변",4.6점,09:00 ~ 17:00
5,황우지해안,제주특별자치도 서귀포시 천지동 765-7,"해수욕장,해변",4.2점,
6,삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,"해수욕장,해변",4.5점,
7,행원해변,제주특별자치도 제주시 구좌읍 행원리 575-6,"해수욕장,해변",4.0점,
8,논짓물해변,제주특별자치도 서귀포시 하예동 532-3,"해수욕장,해변",3.8점,
9,검멀레해변,제주특별자치도 제주시 우도면 연평리,"해수욕장,해변",4.6점,
10,화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순해안로 69 ,"해수욕장,해변",2.9점,
11,우도산호해변,제주특별자치도 제주시 우도면 연평리,"해수욕장,해변",4.6점,
12,하도해변,제주특별자치도 제주시 구좌읍 하도리,"해수욕장,해변",4.3점,
13,신창풍차해안,제주특별자치도 제주시 한경면 신창리 1290-2,"해수욕장,해변",4.6점,
14,하고수동해변,제주특별자치도 제주시 우도면 연평리,"해수욕장,해변",4.8점,
15,엉알해안,제주특별자치도 제주시 한경면 고산리,"해수욕장,해변",4.6점,
16,신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88 ,"해수욕장,해변",3.7점,
17,평대리해수욕장,제주특별자치도 제주시 구좌읍 평대리,"해수욕장,해변",4.6점,
18,종달리해변,제주특별자치도 제주시 구좌읍 종달리 622-5,"해수욕장,해변",4.3점,
19,하효쇠소깍해변,제주특별자치도 서귀포시 하효동 997-3,"해수욕장,해변",4.3점,
20,몽돌해변,제주특별자치도 제주시 내도동 465-2,"해수욕장,해변",3.3점,
21,세기알해변,제주특별자치도 제주시 구좌읍 김녕리 1200-5,"해수욕장,해변",4.9점,
22,신흥해수욕장,제주특별자치도 제주시 조천읍 신흥리,"해수욕장,해변",4.5점,
23,하모해변,제주특별자치도 서귀포시 대정읍 하모리,"해수욕장,해변",3.4점,
24,알작지해변,제주특별자치도 제주시 내도동 465-2,"해수욕장,해변",3.8점,
25,소금막해변,제주특별자치도 서귀포시 표선면 표선리,"해수욕장,해변",4.5점,
26,광치기중간,제주특별자치도 서귀포시 성산읍 고성리,"해수욕장,해변",4.6점,
27,황우치해변,제주특별자치도 서귀포시 안덕면 사계리 79-4,"해수욕장,해변",4.1점,09:00 ~ 22:00
