place_name,review
이호테우해수욕장,말 필요 없음
이호테우해수욕장,이호테우 해변 비오는 날 방문했는데 운치있고 넘 좋네요!!!!
이호테우해수욕장,좋았어요 ㅎㅎ 말등대도보공
이호테우해수욕장,귀여운 말등대가 있는 해수욕장🪅아이들 놀기 좋은 해수풀장이 있어요~
이호테우해수욕장,제주도 마지막 여행지
이호테우해수욕장,그냥 시원한 맛에 갈만함 사람 꽤 있는 편이고 말 등대까지 산책하기 괜찮음 -겨울방문- 여름에는 해수욕 하기 괜찮을듯 잔잔하니 아이들이 놀기 괜찮음
이호테우해수욕장,https://youtu.be/R4hXLXd9s9Aok차박 이호태우해수욕장 유튜브 검색하시면 동영상 올렸습니다 낮과밤 차박지
이호테우해수욕장,꼭 건강 해져서 다시한번 가고싶다 병원 밖으로 나가서  제주도로 가자
이호테우해수욕장,서핑스팟으로서0점. 라인업에 사람 30명중문처럼 꼽주는 쓰레기 다수물론 좋은사람이 많지만까맣고 얼굴 찌뿌리고 있는 사람 많은 해수욕장에는서핑하러 가는거 아님
이호테우해수욕장,물이 맑아서 속이 다 보이는 곳!말 동상으로 유명해서 와보고 싶었던 곳!!플라스틱에 대한 경각심을 불러일으키는 곳!
이호테우해수욕장,인생샷 찍으러왔니? 응 여기아니야..처음가봤는데 말등대가 왜이리 멀어.. 이호항 으로 가야댐 가즈아!
이호테우해수욕장,제주도 바다 중 물색은 가장 안 좋은듯...
이호테우해수욕장,알바생들이 손님 뒷담까면서 욕하네요^^ 담부터는 안갈듯요~ 흔한 일진알바생인지  불쾌하네용^^
이호테우해수욕장,좋았음
이호테우해수욕장,제주바다중에 가장더러운 해수욕장?  절대 가지마시길 가실거면  협재  김녕 함덕 표선이  제일  좋고 깨끗함
이호테우해수욕장,좀 걷긴 해야하지만 버스 정류장이 근처에 있어서 접근성이 좋았어요 하지만 물이 좀 더럽고(해조류 많음!) 화장실에 냄새가 났어요 ㅜㅜ 그래두 가볍게 물놀이 하기엔 좋아용!!
이호테우해수욕장,예쁜 뷰가 보이는 항구...
이호테우해수욕장,물더러움 냄새남애기들은 이호테우 해수풀장에서 노세용
이호테우해수욕장,관리가 제대로 안되고 있는 거 같아요;; 서핑하러 갔다가 물이 더러워서 한시간 만에 나왔어요물에 비닐봉지도 너무 많이 떠다녀서 충격먹고 나왔습니다....
이호테우해수욕장,애랑 가서 놀기좋아요 물이 깨끗하진 않고 바닥에 바위 뾰족한게 있어서 물놀이시 조심해야 합니다 공항근처라 바다에서 지나가는 비행기 구경도 재밌어요
이호테우해수욕장,바람과 함께하는 해수욕
이호테우해수욕장,"이호테우는 말이 필요없는 곳공항근처,도심 근처라서 접근성 말이 필요없고물도 깨끗 맑고 이쁨 단점은 해변뒤로 비행기가 착륙해서 조용하지는 않음……"
이호테우해수욕장,날씨만 좀 더 좋았으면 더 예뻤을것 같아요!! 말등대 특이해요 ㅎㅎ
이호테우해수욕장,I found this by accident driving around. Perfect evening in June. Beautiful place to sit and enjoy watching people enjoying life together. One of the best beaches I've seen on Jeju.
남원큰엉해변,"한반도 지형, 생각했던 것 보다 훨씬 아름다웠다.사진찍는 건 좋은데, 기다리는 사람이 많을테니 다음 사람을 위해서 눈치껏 찍고 빠져야 욕을 안 먹는다."
남원큰엉해변,산책하기 너무 좋아요!
남원큰엉해변,기대안하고갔는데 바다가 보이는 산책코스로 정말 좋았어요
남원큰엉해변,정말 예쁜 올레길
남원큰엉해변,한반도 지형 보러오세요주차는 금호리조트에^^
남원큰엉해변,금호리조트 씨유 옆 주차 후 내려가면 금방 나옴한반도 지형 표지판 발견 후 뒤돌면 돼요ㅎㅎ해안가 산책로가 잘 되어 있음아늑하고 너무 좋음
남원큰엉해변,한반도 모양 찍으러 갔는데 잘 안 보임
남원큰엉해변,평범한 해안입니다 안가셔도 될듯
남원큰엉해변,https://youtu.be/Ebyha454GcMok차박 큰엉유튜브 검색하시면 동영상 올렸습니다 큰엉부터 한반도나무 쇠빠진고망 인디안추장얼굴 호두암 유두암
남원큰엉해변,호두암 유두암 보면 볼것 끝이니 되돌아가세요
남원큰엉해변,한반도는 들어가서 오른쪽 입니다. (서쪽)인디언 바위 주변에 있어요.🙂
